id,POI/street
126,"/first indo edu mbl. pt ruko 21"
127,"cuci motor abang/"
128,"/mar raya"
129,"/rawa baha raya"
130,"/kanti sela"
131,"/hisana fried chicken dip"
132,"/sisin"
133,"/cv. sinar mandiri teknik soek hatta"
134,"/bubur ayam warga"
135,"warung kuning/"
136,"/pluit kar sela"
137,"/sel"
138,"/dewa ruci iii"
139,"/gg. h. yasin iii"
140,"/jl. komp. puri bint"
141,"/air camar"
142,"klinik adel/"
143,"/"
144,"/tan baru v"
145,"agen paytren/"
146,"griya kuningan siliwangi/"
147,"/kb rukun cita"
148,"panorama residence/"
149,"/raya ten tani"
150,"/kamp kadu"
151,"/komp perdagangan per"
152,"notaris hanny siti/"
153,"/aka"
154,"/karya sticker aek godan aek 150"
155,"/suka iii"
156,"/orch view"
157,"/jatil raya"
158,"/gg. jipin"
159,"/by pass ngu rai"
160,"/es campur jus tekwan melur"
161,"/marga"
162,"/bida ayu pintu 3"
163,"/jela sela 15"
164,"/pisa baru ten 2"
165,"/surya kencana cv letda suj"
166,"/wisata rahayu semesta pt jend s par v"
167,"/perumahan kota baru indah medan"
168,"/bank rakyat indonesia raya pengasinan"
169,"/"
170,"/pahl trip"
171,"/ir. h. jua iii"
172,"/raya bek"
173,"/toko kaconk pasar pagi"
174,"/keta kali"
175,"/5000 plus toko pon kelapa 3"
176,"/toko susu bat haji hamb"
177,"/griya zakia madani jl. cendrawasih raya"
178,"/nanas vii"
179,"/perum citra perm jl. swakarsa gg. i"
180,"/bca finance jl jendral sudirman"
181,"/pu asih v"
182,"pencucian salju/"
183,"/ploso vi"
184,"/amal"
185,"/ism"
186,"/poris resid"
187,"/dpd di yogyakarta ban"
188,"/griya kebr sela viii"
189,"/kpri makmur jend gatot subr"
190,"/"
191,"/jupi laundry golf ruko silu"
192,"/kar anyar e"
193,"/nuri i"
194,"/sami"
195,"/waturen kawan"
196,"/gabungan alat kesehatan dan laboratorium anak dan laboratorium agung suprapto"
197,"/cv. gifari pramuka"
198,"/kerja bakti 3"
199,"/peri kem"
200,"hacienda mexicano/"
201,"/pon rum"
202,"/gg. hj senin"
203,"/kebon man ii"
204,"/"
205,"/"
206,"/pat - boja"
207,"/cipa"
208,"/r suka"
209,"/jl raya cina"
210,"/bin cell mari raya"
211,"/ayam gepuk pak blan dr. sut"
212,"/kali udik iii"
213,"/"
214,"/dok muwa"
215,"toko gemilang/"
216,"/watu damar"
217,"/alam permai jl. pemuda"
218,"/pon cabe raya"
219,"masjid al-muttaqin dukuh rejosari/"
220,"/jenderal gatot subr"
221,"/mutiara telkomsel pangk susu"
222,"/pergudangan sinar dago iii jl raya lingkar gading"
223,"/gg. st. ibu ii"
224,"/komplek arab jl karya baru"
225,"rth bajulmati/"
226,"/andi pange petta"
227,"/suka karya"
228,"/siu der sumber mush i-a"
229,"/cib"
230,"/raya ker"
231,"/"
232,"/gg. h. amit"
233,"/aup barat iii"
234,"/sego batik indonesia sekar jagad"
235,"/simpang peut- selatan dr yas"
236,"kramat jaya/"
237,"/"
238,"/jl. kedon lor i jl. kedon"
239,"/"
240,"/margo"
241,"/raya pamu per"
242,"komplek puri citra/"
243,"/gajah mada"
244,"hj. umi angel/"
245,"/kios yoga lin timur"
246,"/komplek bea cukai jl.cemara"
247,"/desa hur"
248,"restoran pijenan/"
249,"/gabus"
250,"/optical dewa dep pay neg"
251,"/seruni hills jl swadaya 3"
252,"/tebet timur dalam ix c"
253,"/amaq said lin sumbawa"
254,"/cem ii"
255,"/pondok kopi jend r.s. soek"
256,"/got roy"
257,"/amp i"
258,"/"
259,"/sekolah menengah pertama negeri 19 samarinda poros sam"
260,"jembatan peu/"
261,"/raya cila k. o."
262,"/teru kopo"
263,"/jl. gn. krak iv b"
264,"/amir mah ix"
265,"/raya kerob"
266,"/"
267,"/nasi 23"
268,"/musi 3"
269,"/pesa"
270,"/sent"
271,"/taman bermain blok c mar emas timur i"
272,"/ss tour dan travel merp"
273,"/cija hilir"
274,"/ketintang baru xvii"
275,"golf lake residences/"
276,"/matr dalam"
277,"/arif rah hakim"
278,"/trio busana ibu hj tatik urip sumoharjo"
279,"/puri tirta kenc"
280,"/padema timur 7"
281,"/jin mas motor. pt raya and ubud"
282,"/dupak masi iii"
283,"/aris muna"
284,"/koperasi karyawan multimedia mandiri brig h. has basry"
285,"/panga i"
286,"spbu singapore station/katamso"
287,"/griya citra pers"
288,"/samping syariah bridge jl. re martadinata"
289,"pasir muncang/"
290,"/haji asm"
291,"puncak mulya/"
292,"/gg. pd. asri"
293,"/raden suy"
294,"/alun-"
295,"/"
296,"/"
297,"/gg. 4"
298,"/nova jaya abadi indu"
299,"/rice bowl letj supr"
300,"/let. tuki"
301,"/pulo mas barat v"
302,"/apotek sehat mandiri 1"
303,"/bunga ram i"
304,"/kali ten xvii"
305,"/per"
306,"/suka 4"
307,"/toko tia air hitam"
308,"/keri"
309,"/"
310,"graha sampurna/"
311,"/kedon"
312,"/daksa barat"
313,"/"
314,"/dua putri bang amma kar"
315,"/sayang residence elang"
316,"/toko pengumben joglo raya"
317,"/menan ii, gg. ang"
318,"/ken 3"
319,"/haji m joni"
320,"/rm. padang raya cibe"
321,"/anti"
322,"/vete"
323,"/toko kelontong jl. dr. wahi sudi i"
324,"/rum diponegoro iii"
325,"/makam"
326,"/casablanca mansion jalan raya casablanca"
327,"/persa 3"
328,"/gang bers"
329,"/aa pizza & burger rambutan tanah merd"
330,"/raden inten ii"
331,"graha situsari permai/"
332,"/kamp kera"
333,"/"
334,"/sut gendu"
335,"/sat kulon 2"
336,"/kafe om kumis kelur batu kota"
337,"/boto"
338,"toko la muzhfari/"
339,"/pasar juma jl jend sudi"
340,"/toko jp per"
341,"/agung utara 15"
342,"/jago raya"
343,"/nasi iii"
344,"/dr. wahi s"
345,"/alhid"
346,"/kh. yasin"
347,"/gajah mada"
348,"tpa nurul ibtidaiyah/"
349,"/kedam"
350,"/"
351,"/kamp bal sela"
352,"/duri mas"
353,"/agen bisnis bogowonto tami dr setia budi"
354,"/gg. gajah mada"
355,"/pang polim"
356,"/raya ciburuy-pa"
357,"/polsek jagung raya pulu"
358,"/gg. nan"
359,"/gedung keuangan negara jalan bethesda"
360,"/sawo"
361,"/pasar regional pasar regional b b fachr raya"
362,"/komplek civic center jl. sahadewa"
363,"/jl. hijau raya"
364,"/rumah makan duo servis sos"
365,"/kerupuk nita kenanga"
366,"/asean elektro gajah mada"
367,"/kh has ash"
368,"/gun putri"
369,"/aes nasu"
370,"/badan informasi & komunikasi nasional udayana"
371,"/besar panca bakti desa"
372,"/pilangsari"
373,"toko benang sb/"
374,"/bendu hil"
375,"/maha iii"
376,"/tera ii"
377,"/sarj"
378,"/mawar ii"
379,"/sumi sraten"
380,"/suk ii"
381,"/nak 4a"
382,"/cian"
383,"/usman"
384,"/"
385,"/pt. wira sad lestari"
386,"/raya pai"
387,"cluster potong jambu/"
388,"/surya kenc"
389,"/toko meubel asy pand rini i"
390,"/jl. sam ratul jl. sagan"
391,"/sumber urip unt suropati"
392,"/bintang martabak marg"
393,"/a"
394,"/buana asri raya timur"
395,"tani/"
396,"/bua i"
397,"/kar indah"
398,"/"
399,"/"
400,"/gun seul"
401,"/med utara iii"
402,"/pulau bida"
403,"/bama 8"
404,"/gg. kal"
405,"/dr. cipto"
406,"/gg. rukun"
407,"/kantor polisi gajah mada"
408,"/brand iv"
409,"/pramuka"
410,"smp negeri 1 banyuasin/"
411,"/kra utara"
412,"/melati iii"
413,"/sea"
414,"/gulung tunggal ekatama, s.h. keseh"
415,"/perum griya ciledug cend raya"
416,"/keta"
417,"/"
418,"/perum cika per"
419,"/sun mas ten e"
420,"/smps plus tunanetra 2 raya mauk"
421,"pangkalan dua/"
422,"/sat i"
423,"/jagur boule timur"
424,"/dewi sart"
425,"/pasar karang perintis bumi wono"
426,"/indo cell dah tanj"
427,"/warung nasi putra cilan"
428,"warung jengkol/"
429,"/"
430,"/raya mayor oking jaya atm"
431,"/ruko graha indah jl. gay kebon"
432,"yayasan stiker pembina palembang/"
433,"/flamboyan gajah mada"
434,"bakso malang dan es kelapa/"
435,"/utama"
436,"/rumah susun jl jati rawasari"
437,"plataran bromo/"
438,"/wis lidah kul iv"
439,"/cipi jaya iv"
440,"/swad iv"
441,"/lor tan raja"
442,"/jl. ten kar gg. ii"
443,"/game"
444,"/toko antasari sari haji ahmad"
445,"/malioboro gallery and galery vete"
446,"/outer ring road"
447,"/mamp prapatan 2"
448,"/raya boj ren"
449,"kios manik pan ltd./"
450,"/ami toko pem"
451,"/jj jong indonesia raya naro"
452,"/nges dukuh kupang ii"
453,"/jaksa agung r. soepr"
454,"/sekar pud gang ii"
455,"/notaris amora duren"
456,"/dur 1b"
457,"/danau batur 7"
458,"/nasi iii"
459,"/jl. baba prat xxii y"
460,"/"
461,"/mil"
462,"/puri serp 2"
463,"/kudu raya"
464,"/aries dental pen"
465,"/pen timur i"
466,"/warung teh nyai peri kem"
467,"/serd"
468,"/toko kum kum kertam 1"
469,"terminal cijulang/"
470,"buana impian 2/"
471,"/warung tepo cint"
472,"/gg. sai"
473,"/kuni raya"
474,"/warung hijas 86 hijas hijas"
475,"/madr"
476,"/bank negara indonesia h o s o"
477,"/raya"
478,"/tmp trik"
479,"/gg. 1"
480,"/buah segar muara buah bendu wates"
481,"/ahmad yani"
482,"/masjid baitul hikmah aceh bar meulaboh"
483,"/islamic shoes bhayangkara tugu"
484,"/gg. wari"
485,"toko bintang mas/"
486,"/air camar"
487,"/perum langensari indah"
488,"/danau laut tawar"
489,"/t pang polem"
490,"/komplek bumi persada jl. bumi mas raya"
491,"/"
492,"/toko kaca amanah haji musid"
493,"/pin"
494,"cuci motor & karpet/"
495,"/rumah jahit penggiling merak 6"
496,"/resto cabe merah soek hatta"
497,"/kp. raya dramaga"
498,"/jenderal kementerian agama ri rs fatma"
499,"/kos sekar tama soek hatta"
500,"/pabu"
501,"/j pamij"
502,"/"
503,"/"
504,"/setia budi"
505,"/raya bal"
506,"/tanj sa'ar"
507,"/iv"
508,"perumahan bayur sarana indah/"
509,"/photo photo copy danau"
510,"/pang besar sudi"
511,"/jati sraba raya"
512,"/bog ra"
513,"/griya kenc"
514,"/"
515,"/batam lucky plaza komp ruko nag"
516,"/pemb iv"
517,"/"
518,"/kus ban"
519,"/solaria kartika pratama rata yudha tanah tin barat"
520,"/ud. mitra usaha teuku umar"
521,"/sido"
522,"/warung kopi jenggot wol mon"
523,"/tam aji raya"
524,"/raya mht"
525,"/pajaj"
526,"sd negeri khoirot 03/"
527,"/cluster keri"
528,"/pend"
529,"btn cabalu/"
530,"/kart iv dalam"
531,"/mts swasta nurul hidayah palembang m amin"
532,"/jati ben ii"
533,"buana impian 2/"
534,"/pem"
535,"/hayam wuruk"
536,"ltc glodok/"
537,"/pusaka aji bayu .pt teluk bet"
538,"/bank rakyat indonesia raya indra"
539,"maulana hasan/"
540,"/lily fashionable raya semi"
541,"/pemancingan galatama nr jl. rawa salak"
542,"/brawi"
543,"/hos cokr"
544,"/taman lansia jl cisangkuy"
545,"taman suropati/"
546,"/jl. lan 2"
547,"/catur tung"
548,"/mel"
549,"/perumahan puri sari jl. borong indah"
550,"sd wac/"
551,"/bel i"
552,"/mal raya"
553,"/villa prasadha jln. suka damai"
554,"/dusun cikon jl. cikon"
555,"/original java tour tri"
556,"/gg. kali"
557,"toilet umum pand/"
558,"/sawo"
559,"/angg dalam"
560,"/moena fresh denpasar padma"
561,"toko pray frozzen/"
562,"/tang turi"
563,"/clove"
564,"/mer"
565,"/musholla al-ikhwan pangeran muha"
566,"/yos suda"
567,"/dapur rambut kesa dalam"
568,"/darm"
569,"/jl. boule raya grand"
570,"/jamba"
571,"/sarana niaga cargo h o s cokr"
572,"/bukit indah 1"
573,"/gg. dah"
574,"/masjid taqwa muhammadiyah hos. cokr"
575,"/utan panj iii"
576,"/bali trip utama pt gur 4"
577,"/pramuka"
578,"/cv. purwanti nata husen husen husen husen husen husen husen husen husen husen husen husen husen husen husen husen husen husen husen husen husen husen husen husen husen husen husen husen husen husen husen husen husen husen husen husen husen husen husen husen husen husen husen husen husen"
579,"/"
580,"/d travel agen busana pariwi kh has ash"
581,"/muti"
582,"/gajah dem"
583,"/pkp"
584,"toko talenta kencana/"
585,"/mar"
586,"/per"
587,"sd negeri banjar tahdzib/"
588,"/gaj timur"
589,"/jela madya utara"
590,"/md motor bung karno"
591,"/jalan haji ah wasilah"
592,"/dinamika pesona purbasari pt haji ism"
593,"/dhar ix"
594,"/rad sal gg. h ar"
595,"/tukad bar i"
596,"/kali sela"
597,"/gg. setia"
598,"/cipu raya"
599,"/h. sai"
600,"/raja xi"
601,"/pos ketan legenda boulevard hatta"
602,"/raya kanda gun"
603,"/gg. pel 6"
604,"/lumbu barat raya"
605,"/sul ageng tirta"
606,"/jak"
607,"/pasar baru"
608,"/sutir raya"
609,"/gg. madr"
610,"/cele 1"
611,"cv. duta teknik/"
612,"/jl. stb bon"
613,"/sei hitam"
614,"/ahmad yani"
615,"/dewi sart"
616,"/steam ayani ahmad yani"
617,"/depot sego hamzanwadi krian sidoarjo jatim jl jati v"
618,"/pan batu bol"
619,"/gedung keuangan selatan jl. urip sumoharjo"
620,"/pop sul agung"
621,"/pt an taisi topaz raya"
622,"/lin timur"
623,"toko kacamata ks glass/"
624,"/"
625,"/sib dalam 1"
626,"/kara wadas"
627,"/raya solo - yogyakarta"
628,"/atm bank bukopin adi suma"
629,"/rawa sela gg. angs"
630,"/najah cafe mawar"
631,"/toko raya leu"
632,"ma swasta al muhajirin/"
633,"/perumahan bumi asri jl. sumargo"
634,"/"
635,"/pan kil"
636,"mie ayam dan mend maitreya/"
637,"/kenc resid"
638,"/klinik gran medika raya mauk"
639,"/sewa pekerja pengantin dan make up pulau sera"
640,"/angg catt"
641,"/lamt"
642,"/simp seda"
643,"/toko bang safira ujung batu ujung"
644,"/bali dhifa foundation raya kesa"
645,"/laks"
646,"/haji nam"
647,"/gun singgalang"
648,"/smp 1"
649,"/sentra teknik indonesia. cv nga tirto ii"
650,"joko ting frozzen/"
651,"/flamb"
652,"/gang tela"
653,"hacienda mexicano/"
654,"/bpr kedu midanuttalim suy"
655,"/beruang"
656,"/bat ku med"
657,"/amp iv dalam"
658,"/cassa"
659,"/simp stas"
660,"/kyai has"
661,"bali ukir/"
662,"/jembatan 24 jl. sumargo"
663,"/gg. rah"
664,"/gg. rez"
665,"/gg. kera"
666,"/pad mekar"
667,"/kebon nanas utara ii"
668,"/"
669,"/gun pap"
670,"/sumber mujahidin jl. kahur 4"
671,"/kali timur dalam"
672,"tpa darul abror/"
673,"toilet pertamina/"
674,"perumahan wahana/"
675,"majelis taklim bulungan/"
676,"warung jengkol/"
677,"/danau elok 9"
678,"/ko. pusk a dam v brawi"
679,"/samudera warna. pt jend bas rah"
680,"/pem"
681,"/angs iv"
682,"/ciha"
683,"/jalan raya ngan"
684,"/lawang"
685,"/lotus regency ketin baru sela"
686,"/"
687,"/taman perm indah 2"
688,"/zona industri manis jl. manis ii"
689,"/tebet timur iv"
690,"simpang manunggal/"
691,"/nag"
692,"/raya batu"
693,"/g cend"
694,"/"
695,"/brig katamso"
696,"/ibox autoparts jend sudi"
697,"/ked anyar buntu vii"
698,"/cahaya baru toko k h fakhr"
699,"/"
700,"/gmim cottage pintu besar"
701,"/setro baru ix"
702,"/koperasi karyawan waterpark kebun raya"
703,"toko sita/"
704,"/mel indah 3"
705,"/raya sorea - ngab"
706,"/cibu"
707,"/grand resid boule"
708,"/lenny beauty salon jend sudi"
709,"/paradise resort jl. aria putra"
710,"/toko kelontong bobo"
711,"/tura barat dalam ii"
712,"/papa iii"
713,"/sabu baru iv"
714,"/nusa indah"
715,"/lem iii"
716,"/pangeran tuba angke"
717,"/dewata"
718,"/lighting sound grosir centre pertokoan glo glo glo glo glo glo glo glo glo glo glo glo glo glo glo perto glo pertokoan blus"
719,"/jln raya lapan"
720,"/"
721,"/loa"
722,"/gemb sawah iii"
723,"/kend kol"
724,"/arj"
725,"/merah del v"
726,"/the savia jl. ambon"
727,"/jaya"
728,"/bengkel las hidaya masjid dinar wergo wetan"
729,"/"
730,"puncak mulya/"
731,"/"
732,"/swad pabu kulon"
733,"/komp sek. neg cido"
734,"/visa kawi"
735,"green garden/"
736,"/wiguna ten xi"
737,"/rawa sela 3"
738,"/datuk kabu"
739,"/sd negeri 2 wirosari raya sese"
740,"/kisa"
741,"/super diesel pang hida"
742,"/kedai kasih - lawang taw mangu"
743,"/koperasi sutra al-ghozali raya payak"
744,"/prima x"
745,"/gg. jat"
746,"/toko mayang jl. k.z. abidin"
747,"/t orc bint"
748,"/suko"
749,"/raya mustikasari"
750,"/alfamart trans kal"
751,"/kebun man i"
752,"/dip"
753,"/yayasan kdm jl. rawa dolar"
754,"/jaka"
755,"/teuku cik sohar gg. mel 3"
756,"/raya bandu"
757,"/smks ti suryake serma bogor jend. a. yani i"
758,"/mesjid al hidayah raya cika pam"
759,"/kali baru timur iv"
760,"/gedung pramuka jl. pahlawan"
761,"/ahli gigi dental edy kosim"
762,"/cend 1"
763,"/kena raya"
764,"tower sakura/"
765,"/jl. ras said"
766,"/gang srikandi"
767,"/"
768,"/rezeki rezeki raya jek pant"
769,"/margaluyu"
770,"/karya jaya"
771,"/jawa tour dan travel pen"
772,"/padat karya"
773,"harmony vocal group group/"
774,"/pro"
775,"/raya mojo"
776,"/asosiasi hutan rakyat mandiri indonesia bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal bridal"
777,"/toko narmada bang raya gondang"
778,"/gg. mulia"
779,"/pangkalan 6 mandiri jalan raya narogong"
780,"/atm bri perumahan grand perm city"
781,"/sido jaya 7"
782,"/rawa cito"
783,"terminal tidar magelang/"
784,"/jaya abadi sablon desa boj gosa"
785,"masjid al-hidayah/"
786,"/raya ulu"
787,"/desa leuwi"
788,"/"
789,"/edu teknik cemp raya"
790,"/cima"
791,"/mel raya"
792,"/dokter murod spog k wulu"
793,"/stasiun cibinong jl. padurenan"
794,"/"
795,"/gg. siaga 1 dalam"
796,"/"
797,"/mi swasta miftahul mutaqin amma pahl"
798,"pos indonesia/"
799,"/maccini ra"
800,"btn cendana indah/"
801,"/"
802,"/kayla baby shop lin pada tin"
803,"/jl. h. saa"
804,"/mang dalam vi"
805,"/cend btn kar asem"
806,"/komp zeni elou"
807,"/masjid az-zahra seh"
808,"/perumahan permata harmoni jl. pancawati darawolong"
809,"/pln indu"
810,"/komp hksn per"
811,"/"
812,"/gg. griya dadi"
813,"/wiroj"
814,"/gedung griya sinta jalan tomang raya"
815,"/gar raya"
816,"/emer citra vi"
817,"/flamb"
818,"bengkel april/"
819,"/smart kos ibu farhan andi map"
820,"/kar anyar"
821,"/lin suma"
822,"/paras yogya baba loa"
823,"/kamp noro 13i"
824,"bumi citeu asri/"
825,"/notaris ny. pederesan sumatera buah batu"
826,"/gg. ulun suan"
827,"/idola family air mata"
828,"/peri kem"
829,"palm spring regency/"
830,"/ipda tut hars"
831,"/dewa chicken pur"
832,"/"
833,"/kena raya"
834,"/sawo kecik 3"
835,"/cemp put ten xxv"
836,"/kayu gede 1"
837,"/toko al-huda desa seng"
838,"/"
839,"/bu susan pac kuda"
840,"/flamb 1"
841,"/ir. h. jua"
842,"/sut jel 2"
843,"/kasu"
844,"/ir. sut"
845,"/ruko murni jl. gajahmada"
846,"/praja edukasi water paus"
847,"/raya setu"
848,"/cisan raya"
849,"kp kebon kopi/"
850,"toko emas putih nur airah/"
851,"/jl. raya duri"
852,"/ani st mali saleh"
853,"/kemb kun kulon"
854,"/sumber wijaya murni. pt ujung baru"
855,"/duri"
856,"/gent besar"
857,"/akma vi"
858,"/jend sudir gang damai"
859,"/mojo iii"
860,"/perum puri kosa 2"
861,"/pand lima raya"
862,"/swad pos"
863,"/gar"
864,"/serd ba 1 g"
865,"/danau biru"
866,"pondok karya agung/"
867,"/indah jati kolo sugi"
868,"/raya keb"
869,"/"
870,"/sema raya"
871,"/raya cila kko"
872,"/gg. kelu"
873,"/unt suro"
874,"/samping bee hotel jl. pramuka"
875,"/hotel mira pang sudi"
876,"/komp pergudangan tanjung sari raya tan lor"
877,"/perum bmi"
878,"/raya imb"
879,"/ruko pancasila jl. brigjen sudiarto"
880,"/pag"
881,"/kaca pir"
882,"/pahl ser"
883,"/gar"
884,"/pulo wonok"
885,"masjid al muawanah/"
886,"/siliw"
887,"/anugrah cell cih"
888,"/ren"
889,"koperasi kredit cu lant/"
890,"/bakso salam 27 raya mabes hankam"
891,"griya melati mas/"
892,"/g. kisa"
893,"/terr journey pis kipas"
894,"/d"
895,"toko taliwang/"
896,"/"
897,"/jati"
898,"/jatil vi"
899,"/ranu"
900,"/"
901,"/cari"
902,"/lam indah"
903,"/soek hatta"
904,"/cis kulon viii"
905,"/taxi blue bird. po soek hatta"
906,"/vete"
907,"/pulo wonok"
908,"/akbar bukit permata asri"
909,"/ruko new zamrud f2 jl. p. petta"
910,"/es campur pak kardi ser bah"
911,"puskesmas pantai maitreya/"
912,"/perum bangka resid"
913,"/tb. anwar jaya raya laswi"
914,"/poros anab - seng"
915,"/kedon"
916,"/mahk ruby"
917,"/raya bek"
918,"/"
919,"/pelabuhan perikanan muara angke jl. pendaratan udang"
920,"mega lestari residence/"
921,"/tk sabrina batik gajah mada"
922,"/bank danamon dr. set"
923,"/kalum"
924,"/pin perak ii"
925,"/apotek bersama pejan"
926,"/sumber keramik industry pt raya ked asem"
927,"/cari"
928,"/lawu"
929,"/sekip"
930,"/gg. delta"
931,"/mas ar rau"
932,"/toko pak asep purba iv"
933,"/boule boule"
934,"/pt rudi putra banjaran adi suci"
935,"/jl. suka karya"
936,"/lembah kopitiam toko dip"
937,"/alba raya"
938,"toko wijaya merpati/"
939,"/arj 3 pare"
940,"/warkop bu tutik patti"
941,"/puma"
942,"/ilham purba iii"
943,"/swad 1"
944,"perumahan buana subang kencana/"
945,"/cip"
946,"/mitra sakinah toko brig katamso"
947,"/buwek raya, gg. danau"
948,"/toko marka jaya dip"
949,"pondok mak/"
950,"/jaya abadi cv raya jab sari"
951,"/busana ori makassar peri kemerd"
952,"/toko permata 29 raya babat"
953,"/ulu per"
954,"/baba"
955,"padma group/"
956,"kedai mey ranger/"
957,"/raudhatul athfal miftahul ulum demokrasi k h anwar"
958,"/pahl"
959,"/raya lin pantai timur suma suma"
960,"/baba"
961,"/pt .. jl. raya narogong pangkalan 8"
962,"/pramb ii"
963,"/keseh"
964,"/lebak rejo"
965,"/tasik"
966,"/perum green gar"
967,"/puri 13"
968,"/fla pes"
969,"masjid benda/"
970,"/dewi sart barat viii"
971,"/gedung medan pemuda jl pemuda"
972,"/kh.m"
973,"/lin ten sumatera"
974,"muara angke/"
975,"indhizio salon/"
976,"/lin ten suma"
977,"/"
978,"/waroeng lokal lan suko"
979,"/cipa"
980,"/"
981,"/trun 2"
982,"/ksp tulus rezeki bromo"
983,"/cer"
984,"/wiy baru 3"
985,"/camp mulia perm jin"
986,"/zam vii"
987,"/gg. vii"
988,"/kuri"
989,"/bb"
990,"/jati agung island full minang jeruk"
991,"/tar bha"
992,"/gg. banda 8"
993,"masjid miftahul bar/"
994,"/salak"
995,"/puspa"
996,"/rafl iii"
997,"/haji panjaan"
998,"/kalij ix meng"
999,"/pus v"
1000,"/tegal amba"
1001,"/bii rambut mayjen mayjen sungkono"
1002,"/sumur band"
1003,"/annida salon masbagik-prin"
1004,"/cen"
1005,"/bal dalam"
1006,"/yayasan wakaf umi jalan sumargo"
1007,"/p. yapen 1"
1008,"/yatim yatim & dhuafa al huda pisa baru"
1009,"/sido iv"
1010,"/haji dar cik"
1011,"/cemp mas barat"
1012,"/jasa pasang marmer gra dan kra dalam"
1013,"/manu"
1014,"/sema"
1015,"/sam"
1016,"/wisma jayalaras wonggowicono"
1017,"/jan"
1018,"/bani has"
1019,"/ang via"
1020,"/sektor melati jl. boule grand depok"
1021,"/tam aga"
1022,"/raya dean"
1023,"/ment utama 1"
1024,"/angkringan mazz sbj raya"
1025,"/ramb"
1026,"/bni prof. amhar. yamin"
1027,"/ivo wedding wates"
1028,"/toko margaban wiyung gang taman bha"
1029,"/soto ayam pojok musi"
1030,"/kem"
